TSNE1,TSNE2,TSNE3,Label
-0.38373998,-5.38484,-3.3945663,G_Na+G_Ca
-0.41385916,-5.7200713,-3.0171304,G_Na+G_Ca
-0.47351998,-5.988125,-2.6462681,G_Na+G_Ca
-0.553125,-6.2315125,-2.2267733,G_Na+G_Ca
-0.6330646,-6.421818,-1.8590462,G_Na+G_Ca
-0.74531084,-6.6156154,-1.4139105,G_Na+G_Ca
-0.8354907,-6.826921,-1.0280223,G_Na+G_Ca
-0.9450417,-7.144552,-0.6112055,G_Na+G_Ca
-1.0758269,-7.564782,-0.18584566,G_Na+G_Ca
-1.2281907,-8.103682,0.31039894,G_Na+G_Ca
-1.41895,-8.7001505,0.81638604,G_Na+G_Ca
-1.6650871,-9.338455,1.325788,G_Na+G_Ca
-1.9367625,-9.948816,1.8079515,G_Na+G_Ca
-2.2773085,-10.518365,2.33213,G_Na+G_Ca
-2.6719248,-11.051654,2.8087885,G_Na+G_Ca
-3.0867202,-11.555977,3.2579105,G_Na+G_Ca
-3.5167594,-12.046293,3.6655893,G_Na+G_Ca
-3.926543,-12.517289,4.0315404,G_Na+G_Ca
-4.2373896,-12.967766,4.3442025,G_Na+G_Ca
-4.5076203,-13.241977,4.7719736,G_Na+G_Ca
-4.5920305,-13.517324,5.0883346,G_Na+G_Ca
-4.7036977,-13.651341,5.227627,G_Na+G_Ca
